,text,device,emotion
40,great weather greet still need sweater night apple putting flash store downtown sell ipad2,Apple,Positive emotion
41,hootsuite hootsuite mobile update iphone blackberry android whether re getting friend,,No emotion toward brand or product
42,hey long think take u make iphone case answer using zazzlesxsw ll make one,,No emotion toward brand or product
43,mashable ipad take sxsw video ipad gadget,,No emotion toward brand or product
44,pad rt new ubersocial iphone app store includes uberguide sponsored,,No emotion toward brand or product
45,ipad2 smartcover open instant access waited get one apple,iPad or iPhone App,Positive emotion
46,hand held hobo drafthouse launch hobo shotgun iphone app,,Positive emotion
47,hooray apple opening pop store austin,Apple,Positive emotion
48,orly google set launch new social network circle today,,No emotion toward brand or product
49,wooooo apple store downtown austin open til midnight,Apple,Positive emotion
50,khoi vinh say conde nast's headlong rush ipad publishing fundamental misunderstanding platform,,No emotion toward brand or product
51,lt help forward doc anonymous account techie ppl help u jam libya,,No emotion toward brand or product
52,_ edchat musedchat classical newtwitter,,No emotion toward brand or product
53,location based fast fun future,,No emotion toward brand or product
54,google connect digital physical world mobile,,No emotion toward brand or product
55,talking google's effort allow user open system bettercloud,Google,Positive emotion
56,google tweet new think speak mark belinsky 911tweets panel,,No emotion toward brand or product
57,1st stop chaos hunt austin java get spy game chance win ipad,iPad,Positive emotion
58,check holler gram ipad app,,No emotion toward brand or product
59,fun google pic,,No emotion toward brand or product
60,guy kawasaki talk enchanted sxsw know stuff book internet apple,,No emotion toward brand or product
61,futuremf spec recipe web google search,,No emotion toward brand or product
62,omfg heard apple's pop store downtown austin pic already gowalla ipad2,Apple,Positive emotion
63,smile think apple's pop store austin would lot interesting actually know popped,Apple,No emotion toward brand or product
64,line apple store insane,,Negative emotion
65,agree wait fiona apple town somebody kidnap put recording studio record new album,,No emotion toward brand or product
66,wanna buy drink 7pm fado 4th join u,,No emotion toward brand or product
67,attending ipad design headache,iPad,Negative emotion
68,boooo flipboard developing iphone version android say,,Negative emotion
69,check line ipad austin power,iPad,Positive emotion
70,check giving added value location based service need battle check fatigue google pnid,,No emotion toward brand or product
71,chilcott stand talking blogger staff late win competition best tweet mentioning shirt,,No emotion toward brand or product
72,come party google tonight band food art ice cream nifty interactive map,Google,Positive emotion
73,gowalla's promise launch foursquare check groupon reward type service finger's crossed,,No emotion toward brand or product
74,ha ha news loosing search traffic new site doubt last tho weird name,,No emotion toward brand or product
75,holla google party best ever get butt,Google,Positive emotion
76,love iphone case can't get phone fail,iPhone,Positive emotion
77,worship,,No emotion toward brand or product
78,ipad2 droid mac agnerd confession using laptop ipad blackberry follow,,No emotion toward brand or product
79,launching denies social network called circle debut today despite report,,No emotion toward brand or product
80,new post iphone app make easy connect social network people meet,iPad or iPhone App,Positive emotion
81,nice iphone app behaving today crash yesterday ridiculous,iPad or iPhone App,Positive emotion
82,nice apple opening popup store ipad launch downtown austin,,No emotion toward brand or product
83,nice hey apple fan get peek space that's slated pop apple store tomorrow,Apple,Positive emotion
84,one thing great get great earth face google company love sxwsi,Google,Positive emotion
85,stay tune showcase h4ckers,,No emotion toward brand or product
86,thank touchingstories preso here's deck,,No emotion toward brand or product
87,thank awesome party,,No emotion toward brand or product
88,thanks trying contact friend family japan created person finder,,No emotion toward brand or product
89,thanks mention new speech ipad apps showcased conf sxsh,iPad or iPhone App,Positive emotion
91,thanks publishing news new medical apps conf blog mhealth,,No emotion toward brand or product
92,provide iphone charger i've changed mind going next year,iPhone,Negative emotion
93,wonder apple flashmob tcrn ch fcs45j ipad2,,No emotion toward brand or product
94,wonder putting tip api suxsw,,No emotion toward brand or product
95,xmas shiny new apps new book pop ipad store christmas nerd,iPad,Positive emotion
96,yai new ubersocial iphone app store includes uberguide sponsored cont,iPhone,Positive emotion
97,yes hey i've got another gem gt free sxsw,,No emotion toward brand or product
98,fast fun future google presenting search local mobile,Google,Positive emotion
99,gsdm google's industry party tonight see austin welivehere gsdm,,No emotion toward brand or product
100,new buzz google launch major new social network called circle possibly today,,No emotion toward brand or product
101,headline ipad must gadget hmm could seen one coming gadget,iPad,Positive emotion
103,know dataviz translates satanic iphone i'm sayin,,Negative emotion
104,google launched checkins month ago check in ok check out future bizzy,Google,Positive emotion
105,google launched checkins month ago check in ok check out future bizzy,,No emotion toward brand or product
106,google tweet new think speak mark belinsky 911tweets panel,Google,Positive emotion
107,attending left brain search google right brain search bettersearch talking future search engine,,No emotion toward brand or product
108,hp open mobile park content incubator apple construct pop store,,No emotion toward brand or product
109,kawasaki lewis level reasoning apple's continued existence evidence existence god bawling,Apple,Positive emotion
110,kawasaki pagemaker saved apple oh day jwtatl enchantment,,No emotion toward brand or product
111,kawasaki pagemaker saved apple oh day jwtatl enchantment,Apple,Positive emotion
112,spark android teamandroid award read,,Positive emotion
113,unboxing apple apple store sxsw,,No emotion toward brand or product
114,apple ipad 2's great thought japan apac region dealing earthquake tsunami trauma,iPad,Positive emotion
115,apple school marketing expert sxsw cnet blog,,No emotion toward brand or product
116,apple school marketing expert,Apple,Positive emotion
117,apple school marketing expert,,No emotion toward brand or product
118,temporary apple store def tent powerhouse gym,Apple,Positive emotion
119,temporary apple store 6th congress along 10 000 happy hipster,Apple,Positive emotion
120,apple win opening temporary store downtown austin support ipad2 launch good,Apple,Positive emotion
121,ipad austin trending today fun nerdy nerd,iPad,Positive emotion
122,headed austin check map newbie enjoy,,No emotion toward brand or product
123,funny austin trending matter minute point least according twitter iphone,,No emotion toward brand or product
124,christian ipad iphone devs want talk maybe wk together cool app,iPad or iPhone App,Positive emotion
125,ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good,,No emotion toward brand or product
126,apple ipad2 taken austin storm excited part mobile,iPad,Positive emotion
127,haz ipad2 ifrom gr8,iPad,Positive emotion
128,stack ipad2's waiting bought got mine hassle apple handled perfectly,iPad,Positive emotion
129,google's mobile future elusive power eurorscg,,No emotion toward brand or product
130,notatsxsw here's free download meet nearby pep,,No emotion toward brand or product
131,smallbiz need review play google place got app seo,,Positive emotion
132,smallbiz need review play google place got app seo,,No emotion toward brand or product
133,samsung sony follow apple hp lead austin atx,,No emotion toward brand or product
134,samsung sony follow apple hp lead austin atx rg,,No emotion toward brand or product
135,take major south korean director get 130 000 make movie entirely iphone,iPhone,Positive emotion
136,beautiful apple store sxsw pic,Apple,Positive emotion
137,q1 prep amazing pre push locally focus location based google owns 10 region billboard pr20chat,,No emotion toward brand or product
138,account need follow apps download iphone,,No emotion toward brand or product
139,headed want share gather contact info turn iphone business card broadcaster,,No emotion toward brand or product
140,headed want share gather contact info turn iphone,,No emotion toward brand or product
141,btw apple store sold 3g model vzw att,,No emotion toward brand or product
142,must app lovely review forbes sxsw ipad app holler gram,iPad or iPhone App,Positive emotion
143,temporary apple store apple sneaky usual,Apple,Positive emotion
144,anyone pop apple store austin that's gotta hopping place today,,No emotion toward brand or product
145,beta testing interactive book ipad app moonbot studio louisiana cool app,iPad or iPhone App,Positive emotion
146,apple day one seeing ton ipad2,iPad,Positive emotion
147,fastball giving away two new ipad2 wifi 32g black apple cover tweet fo info attsxsw tonight bo lt house,,No emotion toward brand or product
148,anyone chance check pop apple store wondering worth trek convention center,,No emotion toward brand or product
149,ipad store sold everything except 64gig wifi white manage get,iPad,Positive emotion
150,ipad store sold everything except 64gig wifi white also known white jean configuration,iPad,Positive emotion
151,offered ipad promo ninjafinder user fan suck,iPad,Positive emotion
152,austin conference google search interactive music film,,No emotion toward brand or product
153,anyone know apple selling ipad,,No emotion toward brand or product
154,anyone know apple store new shipment ipads yet,,No emotion toward brand or product
155,marc ecko launch iphone app autodial political change edreform edtech eduvc fightthepaddle,,No emotion toward brand or product
156,poursite learning life changing impact ipad real people's actual life bravo,iPad,Positive emotion
157,lonelyplanet austin guide iphone free limited time lp travel,,Positive emotion
158,free mp3 downloads time itunes,,No emotion toward brand or product
159,anyone heading aclu event seen owt google circle,,No emotion toward brand or product
160,prompt memory go google map describe childhood walk,,No emotion toward brand or product
161,apple store still ipad 2's short line,iPad,Positive emotion
162,essential tool,,No emotion toward brand or product
163,left tradeshow demo google theatre ok get see presenter using,Other Google product or service,Positive emotion
164,following tweet google realtime four platform tweet deck listening panel realizing i'm spoken one today,,No emotion toward brand or product
165,anyone want ipad i'm line pick one someone willing pay 50 grab,,No emotion toward brand or product
166,anyone want make quick hundred dollar new ipad2 ad hoc apple store get hundred plus cost,iPad,Positive emotion
167,solving iphone toilet crisis apple store crisis,,No emotion toward brand or product
168,monday barry diller new york time congress lunch hotel party google party six dirty martini monday,Google,Positive emotion
169,attending austin guide free download itunes lp,,No emotion toward brand or product
170,seriously testing mobile apps constant ipad crash causing lost schedule sync wp7,iPad or iPhone App,Negative emotion
171,ready iphone apps make ur blogging easier,iPad or iPhone App,Positive emotion
172,ipad2 conflagration doofusness,iPad,Negative emotion
173,attention rumored pop temporary apple store ipad launch need,Apple,Positive emotion
174,went lousy ipad,iPad,Positive emotion
175,hey folk want learn security come bsidesaustin,,No emotion toward brand or product
176,attending work iphone ipad game development looking hire austin based io developer i'm man let's talk,,No emotion toward brand or product
177,winning picture android google,Android,Positive emotion
178,gsdm google 10 what's best party hit tonight,,No emotion toward brand or product
179,gsdm google industry party great meet,,No emotion toward brand or product
180,spent 000 come sxsw already used ipad wait couple city block ipad2,iPad,Negative emotion
181,day marissa mayer google connect digital physical world mobile,,No emotion toward brand or product
182,behind 100 email give line iphone composed reply protip,iPhone,Positive emotion
183,like 10pm night line around block popup apple store selling ipad2s,iPad,Positive emotion
184,1154 free song year alone,,No emotion toward brand or product
185,150 million mobile user google map mobile,,No emotion toward brand or product
186,currently 150 people line pop apple store,,No emotion toward brand or product
187,ipad available 64gb wifi model 699 plus optional leather smart cover 69,,No emotion toward brand or product
188,love entertain _please t grateful _ edchat musedchat classical newtwitter,,No emotion toward brand or product
189,le hour announce detail ipad giveaway,,No emotion toward brand or product
190,i'm ipad 2 seen wild people say fast still pic terrible,iPad,Negative emotion
191,ipad queue course,,No emotion toward brand or product
192,ipad take video,iPad,Positive emotion
193,many ipad 2's snapping away keynote slide,iPad,Positive emotion
194,apple 200m user credit card sync'd itunes one click purchase winning,,No emotion toward brand or product
195,2nd cocktail texas snowflake google cnngrill,,No emotion toward brand or product
196,new post iphone apps we'll using south southwest interactive,iPad or iPhone App,Positive emotion
197,new post iphone apps we'll using south southwest interactive,,No emotion toward brand or product
198,sweet new google map demo going ballroom,Other Google product or service,Positive emotion
199,35 million mile per day driving google map navigation,Other Google product or service,Positive emotion
200,ipad2 line apple store longer wider 250 people one hour,,No emotion toward brand or product
201,smart packing extra way sunny austin extra iphone stow case,,No emotion toward brand or product
202,wonder 4sqwill attempt block gowalla cross checkins way facebook blocked google's contact connection lbswars,,No emotion toward brand or product
203,day apple store there's still line growing,Apple,Positive emotion
204,check step bulletproof ux strategy sxsw rhjr_ux5,,No emotion toward brand or product
205,wandering 6th street girl stopped ceviche mojitos apple juice ice cream,,No emotion toward brand or product
206,band want share track audience stage use frostwire android there's wi fi available,Android App,Positive emotion
207,we've got busy week ahead new book google apps available amazon we're attending,,No emotion toward brand or product
208,believe went aussie ipad sold 70 went new buyer report,,No emotion toward brand or product
209,google spreadsheet 270 party year o_o plan going party,,No emotion toward brand or product
210,guy line apple's pop store sixth street austin i'm guy told,,No emotion toward brand or product
211,iphone need car use zimride etc share ride shareable,iPad or iPhone App,Positive emotion
212,i've seen lot tablet every single one ipad,,No emotion toward brand or product
213,receiving lot message telling i'm sexy response post looking meet fellow christian iphone devs,,No emotion toward brand or product
214,picked mophie battery case iphone prep lugging around laptop using phone huge win last year,iPhone,Positive emotion
215,thats news google launch major new social network called circle possibly today,,No emotion toward brand or product
216,took piss trade show ipad one hand iphone pissing kiiiiiilling right,,No emotion toward brand or product
217,rumor monger good read _ google circle preview socbiz fb,Other Google product or service,Positive emotion
218,hobo shotgun iphone game,,No emotion toward brand or product
219,hobo shotgun video game coming ipad iphone user yes please,iPad or iPhone App,Positive emotion
220,build store le 24 hour one biggest launch company's history got apple ipad2,Apple,Positive emotion
221,took survey iphone starbucks line got free starbucks gift card instant research instant gratification gsdm,,No emotion toward brand or product
222,apple temporary retail store austin ipad release today open 5pm ipad2,,No emotion toward brand or product
223,read groupme like incredible app available android phone yet,iPad or iPhone App,Positive emotion
224,wondering circle gt google reveal new social network,,No emotion toward brand or product
225,google search local marissa mayer,,No emotion toward brand or product
226,wondering street closure sxsw made google map show austin,,No emotion toward brand or product
227,google another go social google circle google,,No emotion toward brand or product
228,question what's inside ipad fire way,,No emotion toward brand or product
229,paraormal activity sanctuary iphone game sketching ar experience interactivity magic lense eduar,,No emotion toward brand or product
230,apple iie ad 85 si swimsuit issue garage sale,,No emotion toward brand or product
231,flipboard add instagram photo social search apps apple socialsearch,,No emotion toward brand or product
232,spent aftrnoon frozen lake photographing brother scott team catch th weeknd,,No emotion toward brand or product
233,iphone alarm botch timechange many freak late flight missed panel behind bloody mary,iPhone,Negative emotion
234,shout lady holding ipad 2's free show take photo sipping free beer cc,iPad,Positive emotion
235,dj hoodie allen due respect probably make way back google,,No emotion toward brand or product
236,meant also wish dyac stupid iphone,iPhone,Negative emotion
238,audioboo american dream bust ipad bum begger u socialart documentally,,No emotion toward brand or product
239,skifta app based medium shifting service turn android phone mashable,,No emotion toward brand or product
240,rumor apple store opening 6th congress sign point yes,Apple,Positive emotion
241,apple security guy lock store,,No emotion toward brand or product
242,apple security guy lock store realtime sxsw curated,,No emotion toward brand or product
243,got ipad cc,,No emotion toward brand or product
244,picked ipad pop apple store 15 minute wait,iPad,Positive emotion
245,brilliant enlightening game mechanic presentation google,Google,Positive emotion
246,gsdm google sitting tree gsdm,,No emotion toward brand or product
247,here's pic winning ipad unsix cc cont,,No emotion toward brand or product
248,iphone thirsty chevy volt lounge 16 others,,No emotion toward brand or product
249,iphone thirsty chevy volt lounge 16 others,,No emotion toward brand or product
250,came left iphone playing song chosen random skream's listening record wall appropriate,,No emotion toward brand or product
251,marketing sale genius apple,Apple,Positive emotion
252,arduino android flaming skull refrigerator speaks salon 30pm smartthings,,No emotion toward brand or product
253,reminder android chrome tt talk pm today,,No emotion toward brand or product
254,ipad v android v world panel today 30pm,,No emotion toward brand or product
255,backupify announces cloudsight search first searchable archive solution social medium google apps,,No emotion toward brand or product
256,google announcing social network circle tweet interesting myopia cause buzz joke interesting,,No emotion toward brand or product
257,need ipad iphone laptop dictaphone vid camera wow love meet real cerebellum charged people,iPhone,Positive emotion
258,see anything google's circle,,No emotion toward brand or product
259,app iphone ridiculous personal planner next day,iPad or iPhone App,Positive emotion
260,app android huge prop get,,No emotion toward brand or product
261,found app kyping iphone's geolocation releasing background need patch batterykiller,iPad or iPhone App,Negative emotion
262,app iphone live rsvp event phone check 20 scoremore,iPad or iPhone App,Positive emotion
263,iphone app screen missing,,No emotion toward brand or product
264,love app awesome must see android app bizzy,Android App,Positive emotion
265,apple pop store nut still packed 11 30,Apple,No emotion toward brand or product
266,say apple popup store austin,,No emotion toward brand or product
267,breaking apple announces partnership porn industry new ipad2 video chat app called facetime,,No emotion toward brand or product
268,course apple built temp store austin texas understand concept corralling cattle pickmeupanipad2,Apple,Negative emotion
269,love apple let something like retail store near keep away opening pop store,Apple,Positive emotion
270,surprise apple opened pop store austin nerd town get new cnet,Apple,Positive emotion
271,surprise apple opened pop store austin nerd town get new ipads cnet,iPad,Positive emotion
272,surprise apple opened pop store austin nerd town get new ipads,,No emotion toward brand or product
273,surprise apple opened pop store austin nerd town get new ipads,Apple,Positive emotion
274,technews apple head sxsw set temporary store austin tech_news apple ipad_2 rance_wilemon tech,,No emotion toward brand or product
275,apple great example retail store layed future register checkout line,Apple,Positive emotion
276,apple opening temporary store downtown austin ipad launch gswsxsw,Apple,Positive emotion
277,apple opening temporary store downtown austin ipad launch oh yay traffic,Apple,Negative emotion
278,technews apple opening pop store austin sxsw tech_news american_statesman apple apple_apple tech,,No emotion toward brand or product
279,technews apple opening pop store austin sxsw geekfest apple tech_news apple brian_lam ipad_2 tech,,No emotion toward brand or product
280,apple popup store open noon fresh shipment ipad 2's i'm pretty sure i'm going get one finger crossed,iPad,Positive emotion
281,technews apple save sxsw set open pop store tech_news apple tech,Apple,Positive emotion
282,apple school marketing expert,,No emotion toward brand or product
283,apple school marketing expert,Apple,Positive emotion
284,apple school marketing expert,Apple,Positive emotion
285,apple school marketing expert lt lt true love loathe one marketing like,Apple,Positive emotion
286,apple school marketing expert cnet,Apple,Positive emotion
287,apple school marketing expert cnet blog austin atx retail,Apple,Positive emotion
288,apple store downtown austin open til midnight there's still time,Apple,Positive emotion
289,apple store downtown austin open til midnight ipad2 left stock,,No emotion toward brand or product
290,apple store congress austin,,No emotion toward brand or product
291,apple store mall sunday 10x crowded line fake need fucking dongle genius let,Apple,Negative emotion
292,2wks apple store 6th austin street opened,,No emotion toward brand or product
293,special apple store opening 6th congress sxsw ipad launch apple ipad2 fb,,No emotion toward brand or product
294,makeshift apple store 6th congress kidding amazing apple,Apple,Positive emotion
295,temporary apple store huge line,,No emotion toward brand or product
296,temporary apple store sxsw really cool ipad apple fanboy,iPad,Positive emotion
297,temporary apple store set shit temptation going control,Apple,Positive emotion
298,temporary apple store line go around block,,No emotion toward brand or product
299,temporary apple store open 6th congress tomorrow ipad2,,No emotion toward brand or product
300,temporary apple store open 5pm 6th congress line already growing ipad view io,Apple,Positive emotion
301,temporary apple store block office can't wait see line tomorrow photo come ipad2,Apple,Positive emotion
302,apple store open noon day close run ipad2s buy stock 10 year ago,,No emotion toward brand or product
303,base camp apple,,No emotion toward brand or product
304,ipad news apps last year,iPad or iPhone App,Negative emotion
305,10 iphone apps ll probably need use,iPad or iPhone App,Positive emotion
306,150 million mobile google map user,Other Google product or service,Positive emotion
307,line already forming apple's pop store austin people see festival,,No emotion toward brand or product
308,android 10 new mobile apps ll using,Android App,Positive emotion
309,attending sxsw report see android phone get bannka app,,No emotion toward brand or product
310,ipad apps like software development release start working update,iPad or iPhone App,Positive emotion
311,tweet stalled data sluggish come att verizon embarrassing iphone customer switched iphone,,No emotion toward brand or product
312,tweeting google coming circle platform today outside circle keep itsnot,,No emotion toward brand or product
313,stupid find mac special price game mac,,No emotion toward brand or product
314,slate see much traffic mobile safari app ipad electricnews,,No emotion toward brand or product
315,unloading apple store corner 6th congress austin temp store,,No emotion toward brand or product
316,great day jaloux new ipad look school bus 1st day school,,No emotion toward brand or product
317,arrived issue resolved dying use iphone app cant login we're,iPad or iPhone App,No emotion toward brand or product
318,screenburn launch client new iphone game travellerarlaunch find,,No emotion toward brand or product
319,anyone want see demo piccraft ipad find,,No emotion toward brand or product
320,could spend teaching theater alone look schedule,,No emotion toward brand or product
321,meet u fado give wristband magically lead beer come say hi,,No emotion toward brand or product
322,want ipad apple's setting temporary store check,,No emotion toward brand or product
323,overheard ipad relaxing computer agreed ipad apple,iPad,Positive emotion
324,overheard interactive arg hate iphone want blackberry back shocked,iPhone,Negative emotion
325,meet author host android devs sat 12 30pm hilton room 615ab,,No emotion toward brand or product
326,apple come cool technology one's ever heard go conference,Apple,Negative emotion
327,apple set 000 square foot temporary store sxsw sell new ipads test potential traffic,,No emotion toward brand or product
328,overheard google launch product people's event,,No emotion toward brand or product
329,nerd bait apple set open popup shop core sxsw action,,No emotion toward brand or product
330,long line else apple store,,No emotion toward brand or product
331,last year everbody talking ipad year social medium driven revolution year better,iPad,Positive emotion
332,long line apple pop store ipad great marketing apple,Apple,Positive emotion
333,google people work people rather people work agileagency,Google,Positive emotion
334,knackered home playing ipad updating iphone timeline smashed partytweets can't make go bed,iPad,Positive emotion
335,overheard mdw i'll second halfway iphone battery already even boarded plane amateurhour,iPhone,Negative emotion
336,technews sxsw apple school marketing expert tech_news apple jobs_co tech,Apple,Positive emotion
337,first day sxsw fun final presentation google doodle googledoodle,,Positive emotion
338,huge line apple store austin crowd tripping get new ipad,iPad,Positive emotion
339,ur google aclu 80's party,Google,Positive emotion
340,queue apple pop store,,No emotion toward brand or product
342,posted dmi house intimate stranger stage got restaurant crowd sitting deal wif,,No emotion toward brand or product
343,woman google talk sounded like chelsea handler lol,,No emotion toward brand or product
344,laughed ipad spent week hauling macbook everywhere really want ipad shoulder rub,iPad,Positive emotion
345,attendee need qr code reader iphone tweet u image badge first get optiscan free,iPad or iPhone App,Positive emotion
346,hey attendee hop line apple store four day til new ipad2 come,iPad,Positive emotion
347,anyone attending google aclu party sxsw could plz picture thanks,,No emotion toward brand or product
348,march 11 austin tx people line registration apple store,,No emotion toward brand or product
349,landed austin spotted google place ad airport ultimate austin pocket guide like yelp itouru,,No emotion toward brand or product
350,took away lego pit replaced recharging station might check price iphone crap samsung android,Android,Negative emotion
351,awesome meet standing apple queue yesterday day lt lt cute,,No emotion toward brand or product
352,bad apple show late q process poo poos idea leaf early even i'm creative busy gamestorming,Apple,Negative emotion
353,bahrain govt turned google earth result people learned govt turn back,,No emotion toward brand or product
354,trying balance power power need iphone v ipad 3g ipad suck quick might go airplane mode,iPad,Negative emotion
355,racing ballroom see marissa mayer,,No emotion toward brand or product
356,iphone battery 100 winning,iPhone,Positive emotion
357,iphone battery can't keep tweet thanks apple precommerce,iPhone,Negative emotion
358,another google wave interrupt regularly scheduled geek programming big google news,,No emotion toward brand or product
359,fun watch ipadmadness apple opening pop store austin sxsw,Apple,Positive emotion
360,control apple set open popup shop core action cc,Apple,Positive emotion
361,yeah i'll sure gt rt check google,,No emotion toward brand or product
362,celebrate beauty web msft ie9 launch play new html5 game win ipad2,iPad,Positive emotion
363,texas amazing i've met many influential people work twitter foursquare microsoft even apple winning,,No emotion toward brand or product
364,woke iphone finished recharging mean got enough sleep last night right,,No emotion toward brand or product
365,quiet storm looking forward seeing google's marissa mayer,,No emotion toward brand or product
366,company believing nfc google nexus nokia also carrier verifone even apple seems,,No emotion toward brand or product
367,best thing i've heard weekend gave ipad money japan relief need ipad,iPad,Negative emotion
369,ipad better time improve,iPad,Positive emotion
370,cu pacman google singularity noobs meetup,,No emotion toward brand or product
371,go beyond earth hour year sharing positive action world download earthhour 60 iphone app,iPad or iPhone App,Positive emotion
372,far biggest mistake bringing iphone ipad charger,,No emotion toward brand or product
373,google v bing bettersearch bing shot success structured search potentially higher margin cpa model v google,Google,Negative emotion
374,course bing result good google's seo qagb,Google,Positive emotion
375,black white ipad ipad2 question,,No emotion toward brand or product
376,hootsuite blog social medium dashboard hootsuite mobile update iphone blackberry android,,No emotion toward brand or product
377,hootsuite blog social medium dashboard hootsuite mobile update iphone blackberry android,,No emotion toward brand or product
378,hoot new blog post hootsuite mobile update iphone blackberry android,,No emotion toward brand or product
379,anyone bringing ipad v computer,,No emotion toward brand or product
380,impulsive buy friend gt one selling 1st gen 32gb 3g ipad,iPad,Positive emotion
381,buying new ipad's geekdate apple ipad2,iPad,Positive emotion
382,someone's buying present apple opening pop store austin,Apple,Positive emotion
383,nice find rsq's ipad app,iPad or iPhone App,Positive emotion
384,south southwest panel illustrated pic sometimes best news ogilvy trending cyber iphone,,No emotion toward brand or product
385,google calendar's saturday night giant overlap party,,No emotion toward brand or product
386,google canadian tuxedo lose hour,,Positive emotion
387,anyone make cooler launch groupon living social type reward,,No emotion toward brand or product
388,exciting t wait apple opening temporary store downtown austin ipad launch,Apple,Positive emotion
389,great certain meeting hello holler gram new ipad app hollergram,iPad or iPhone App,Positive emotion
390,dont miss charles chen android chromeos access sxsw google booth exhibit hall 1pm,Google,Positive emotion
391,reminder charles chen talking android chromeos access today 1pm google booth exhibit hall,,No emotion toward brand or product
392,tomorrow charles chen speaking android chromeos access google booth exhibit hall 1pm,,No emotion toward brand or product
393,group chat apps told two apps yet avail android point i'll need phone apps,,No emotion toward brand or product
394,remember chime tweet nasatweetup experience 15pm 3pm central time session,,No emotion toward brand or product
395,daily chord tuesday march hacker discover google's music servicestory rollin music news,,No emotion toward brand or product
396,daily chord tuesday march hacker discover google's music servicestory rolling stone mo,,No emotion toward brand or product
397,google circle austin,,No emotion toward brand or product
398,google circle ht maybe they're reconsidering shape,,No emotion toward brand or product
399,google circle buzz corner rounded might find today google,,No emotion toward brand or product
400,google circle we're launching product we're plenty else,,No emotion toward brand or product
401,10 austin classic missed twitter iphone 12 11 12 40 pm,,No emotion toward brand or product
402,tool collaboration across boundary google webex dropbox whiteboarding basecamp join ipad evolvingworkplace,,No emotion toward brand or product
403,trying collaborate event friend google calendar plancast,,No emotion toward brand or product
404,come hear speak 40 min designing ipad interface new navigation schema ballrm 11 00am uxdes,,No emotion toward brand or product
405,ipad coming guess apple's pretty desperate give attention,Apple,Negative emotion
406,coming sure download sxsw go app schedule location event,iPad or iPhone App,Positive emotion
407,seriously considering leaving macbook pro home flying solo ipad week think make work,iPad,Positive emotion
408,among cool goofy thing i've spied today ipad case made look like etchnsketch grown game tug war,,No emotion toward brand or product
409,wish could party instead homework tomorrow,,No emotion toward brand or product
410,could find he's probably fiting ipad,,No emotion toward brand or product
411,check coyne pr update,,No emotion toward brand or product
412,crazy look around sxsw realize last year one ipad,,No emotion toward brand or product
